loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,purpose
5000.0,36 months,16.86,177.92,D,D2,9 years,RENT,85559.8,Verified,Fully Paid,9.01,0.0,1.0,21.0,1.0,5671.6,23.8,21.0,debt_consolidation
10000.0,36 months,9.66,321.08,B,B5,8 years,MORTGAGE,21601.16,Source Verified,Charged Off,16.12,3.0,1.0,28.0,0.0,5694.48,59.7,41.0,debt_consolidation
25000.0,36 months,27.6,1028.69,G,G3,10+ years,MORTGAGE,68150.26,Source Verified,Fully Paid,16.49,0.0,0.0,15.0,0.0,2311.38,8.9,25.0,debt_consolidation
10000.0,36 months,16.76,355.33,E,E2,8 years,RENT,33710.53,Source Verified,Fully Paid,9.46,0.0,0.0,16.0,0.0,2881.35,36.0,29.0,credit_card
15000.0,36 months,13.32,507.72,D,D5,6 years,RENT,40181.04,Source Verified,Fully Paid,6.88,0.0,1.0,1.0,0.0,2139.36,35.6,6.0,credit_card
10000.0,36 months,5.39,301.46,A,A1,2 years,RENT,40948.29,Verified,Fully Paid,10.35,0.0,1.0,4.0,0.0,1803.11,41.7,8.0,debt_consolidation
5000.0,36 months,12.2,166.55,C,C1,10+ years,RENT,48254.83,Verified,Fully Paid,11.0,0.0,1.0,11.0,0.0,5865.03,22.5,25.0,debt_consolidation
30000.0,36 months,6.37,917.7,A,A3,7 years,RENT,76995.89,Source Verified,Fully Paid,7.88,0.0,1.0,5.0,0.0,22863.2,23.5,22.0,other
5000.0,36 months,5.53,151.05,A,A3,3 years,RENT,52835.74,Source Verified,Fully Paid,1.57,0.0,1.0,3.0,0.0,2885.22,38.5,21.0,other
20000.0,36 months,16.87,711.76,D,D1,8 years,RENT,104097.75,Verified,Fully Paid,5.9,0.0,0.0,10.0,0.0,5585.6,33.6,19.0,credit_card
25000.0,60 months,14.13,583.39,D,D3,3 years,MORTGAGE,112580.93,Source Verified,Fully Paid,5.71,1.0,1.0,19.0,0.0,3971.05,18.0,23.0,debt_consolidation
5000.0,36 months,22.98,193.5,F,F1,1 year,MORTGAGE,67247.66,Source Verified,Fully Paid,8.77,0.0,2.0,25.0,0.0,3916.47,22.9,38.0,credit_card
20000.0,36 months,6.99,617.45,B,B2,9 years,OWN,87361.78,Verified,Fully Paid,15.64,0.0,0.0,7.0,0.0,3528.51,41.5,7.0,debt_consolidation
15000.0,36 months,9.58,481.06,B,B2,< 1 year,MORTGAGE,223563.66,Verified,Fully Paid,12.79,0.0,2.0,24.0,2.0,27449.64,58.6,29.0,vacation
30000.0,36 months,9.68,963.51,C,C5,4 years,MORTGAGE,20144.16,Not Verified,Fully Paid,6.08,0.0,0.0,1.0,0.0,4366.1,56.7,4.0,home_improvement
30000.0,36 months,6.02,912.93,A,A1,< 1 year,MORTGAGE,115069.95,Verified,Fully Paid,7.31,0.0,2.0,29.0,0.0,13138.51,64.6,38.0,debt_consolidation
30000.0,36 months,4.0,885.72,A,A1,1 year,MORTGAGE,159754.31,Verified,Fully Paid,13.71,0.0,1.0,14.0,0.0,4623.04,45.7,15.0,debt_consolidation
15000.0,36 months,11.92,497.64,C,C1,6 years,RENT,73391.96,Source Verified,Fully Paid,4.83,2.0,0.0,15.0,0.0,32525.3,63.7,19.0,credit_card
30000.0,36 months,10.34,972.81,B,B4,2 years,MORTGAGE,205424.13,Verified,Fully Paid,22.39,0.0,0.0,6.0,0.0,20270.45,35.8,11.0,credit_card
20000.0,36 months,12.84,672.34,C,C3,3 years,MORTGAGE,187517.76,Verified,Fully Paid,14.41,0.0,0.0,17.0,0.0,11836.48,51.2,35.0,other
15000.0,60 months,6.53,293.7,B,B5,< 1 year,RENT,42790.7,Not Verified,Fully Paid,44.07,0.0,0.0,22.0,0.0,10803.87,11.1,30.0,debt_consolidation
5000.0,36 months,18.49,181.99,E,E1,6 years,RENT,45147.5,Verified,Fully Paid,13.0,0.0,0.0,10.0,0.0,9820.99,39.9,20.0,small_business
5000.0,60 months,13.75,115.69,D,D3,5 years,RENT,78544.85,Verified,Charged Off,12.17,0.0,3.0,1.0,0.0,2883.21,40.2,20.0,credit_card
10000.0,36 months,6.46,306.31,B,B2,6 years,OTHER,35000.58,Source Verified,Fully Paid,6.66,0.0,4.0,15.0,0.0,6444.26,24.4,16.0,debt_consolidation
10000.0,36 months,19.68,370.01,E,E3,5 years,MORTGAGE,361441.18,Verified,Fully Paid,3.59,0.0,0.0,24.0,2.0,64599.55,62.7,39.0,credit_card
35000.0,36 months,16.84,1245.06,D,D3,4 years,MORTGAGE,94106.72,Verified,Charged Off,23.26,0.0,0.0,21.0,0.0,7919.48,5.6,38.0,medical
40000.0,60 months,9.66,843.21,B,B5,9 years,RENT,55970.31,Source Verified,Fully Paid,15.54,0.0,1.0,17.0,0.0,2542.64,23.8,32.0,debt_consolidation
10000.0,36 months,9.9,322.2,B,B4,9 years,MORTGAGE,20188.31,Verified,Fully Paid,9.78,1.0,1.0,2.0,0.0,983.74,5.0,16.0,debt_consolidation
35000.0,60 months,15.98,850.76,D,D2,5 years,RENT,64624.13,Verified,Fully Paid,15.33,0.0,0.0,7.0,0.0,2891.26,42.7,13.0,credit_card
25000.0,60 months,5.09,472.81,A,A4,4 years,MORTGAGE,23624.64,Verified,Fully Paid,22.98,0.0,0.0,26.0,0.0,1378.23,72.9,34.0,vacation
15000.0,36 months,4.0,442.86,A,A3,2 years,MORTGAGE,92220.91,Not Verified,Fully Paid,14.45,0.0,1.0,26.0,0.0,7357.4,31.9,27.0,debt_consolidation
40000.0,36 months,4.84,1195.96,A,A1,3 years,RENT,15000.0,Source Verified,Charged Off,18.74,0.0,0.0,18.0,0.0,1092.17,50.5,23.0,car
25000.0,36 months,14.02,854.68,D,D5,8 years,RENT,142715.35,Not Verified,Fully Paid,6.27,1.0,1.0,29.0,0.0,939.65,19.4,29.0,debt_consolidation
20000.0,36 months,11.23,656.95,C,C1,1 year,RENT,40259.39,Not Verified,Fully Paid,11.47,0.0,2.0,10.0,0.0,6076.23,53.3,21.0,car
10000.0,60 months,16.13,243.87,D,D5,6 years,RENT,16577.4,Verified,Fully Paid,30.92,0.0,4.0,26.0,0.0,919.08,14.8,37.0,debt_consolidation
10000.0,60 months,15.82,242.23,D,D2,7 years,MORTGAGE,53558.34,Source Verified,Charged Off,26.95,0.0,1.0,10.0,0.0,6104.83,85.7,27.0,debt_consolidation
35000.0,36 months,17.1,1249.59,C,C5,5 years,MORTGAGE,54818.12,Source Verified,Charged Off,6.81,0.0,0.0,1.0,0.0,28347.89,40.4,20.0,wedding
10000.0,36 months,10.48,324.93,C,C2,4 years,MORTGAGE,51791.31,Not Verified,Fully Paid,5.85,0.0,2.0,29.0,0.0,7622.46,22.5,40.0,debt_consolidation
5000.0,36 months,5.31,150.55,A,A1,6 years,OTHER,142316.5,Source Verified,Fully Paid,5.84,0.0,3.0,16.0,0.0,10637.57,14.2,35.0,debt_consolidation
10000.0,60 months,4.0,184.17,A,A4,9 years,RENT,70729.31,Verified,Fully Paid,20.12,0.0,1.0,9.0,0.0,9448.8,60.9,9.0,debt_consolidation
15000.0,36 months,11.92,497.64,C,C1,8 years,MORTGAGE,94585.73,Not Verified,Fully Paid,2.03,0.0,2.0,17.0,0.0,591.64,21.3,19.0,debt_consolidation
15000.0,36 months,11.98,498.07,C,C2,4 years,MORTGAGE,45519.32,Source Verified,Fully Paid,12.3,0.0,0.0,17.0,1.0,432.51,41.9,23.0,debt_consolidation
35000.0,36 months,13.77,1192.31,C,C1,4 years,NONE,73049.99,Source Verified,Fully Paid,23.19,0.0,1.0,26.0,0.0,7957.82,40.8,41.0,other
15000.0,60 months,15.33,359.45,D,D1,2 years,OWN,,Verified,Charged Off,7.38,0.0,1.0,11.0,1.0,10351.17,43.9,23.0,debt_consolidation
30000.0,36 months,12.21,999.44,C,C2,< 1 year,RENT,64904.48,Verified,Charged Off,10.24,0.0,0.0,25.0,0.0,8167.32,55.6,41.0,credit_card
20000.0,36 months,11.85,662.85,C,C3,6 years,OTHER,31864.69,Source Verified,Fully Paid,3.33,0.0,0.0,17.0,0.0,6805.02,44.7,25.0,debt_consolidation
20000.0,60 months,10.4,428.89,C,C4,2 years,OWN,136454.38,Source Verified,Charged Off,9.17,0.0,2.0,25.0,0.0,2303.58,13.3,39.0,debt_consolidation
10000.0,60 months,8.02,202.86,B,B2,6 years,MORTGAGE,57116.8,Verified,Charged Off,30.72,0.0,3.0,13.0,0.0,7570.81,43.5,23.0,credit_card
10000.0,36 months,4.93,299.39,A,A2,10+ years,MORTGAGE,86164.01,Not Verified,Fully Paid,12.72,1.0,1.0,2.0,0.0,12968.46,49.7,4.0,vacation
30000.0,60 months,9.11,624.35,B,B1,5 years,MORTGAGE,65096.48,Verified,Fully Paid,8.71,0.0,2.0,15.0,0.0,2874.74,,22.0,other
25000.0,36 months,9.84,804.8,B,B5,9 years,MORTGAGE,191838.86,Verified,Fully Paid,11.22,0.0,0.0,9.0,0.0,2010.62,55.0,25.0,wedding
15000.0,36 months,8.65,474.56,B,B5,6 years,MORTGAGE,18173.98,Not Verified,Fully Paid,17.74,0.0,1.0,3.0,0.0,1093.0,42.9,3.0,credit_card
35000.0,36 months,19.12,1285.09,E,E3,< 1 year,RENT,50028.2,Verified,Fully Paid,10.89,0.0,0.0,16.0,2.0,1150.58,26.5,28.0,credit_card
30000.0,36 months,6.42,918.38,B,B2,8 years,RENT,27665.43,Verified,Fully Paid,13.28,0.0,0.0,2.0,0.0,3051.01,56.6,21.0,debt_consolidation
5000.0,60 months,6.31,97.39,A,A4,1 year,RENT,15000.0,Verified,Fully Paid,7.1,0.0,1.0,16.0,0.0,5944.83,52.0,26.0,home_improvement
20000.0,36 months,7.96,626.36,B,B1,1 year,RENT,,Source Verified,Fully Paid,8.95,0.0,0.0,25.0,0.0,22844.42,20.2,35.0,educational
30000.0,36 months,10.12,969.71,B,B5,3 years,RENT,123059.71,Not Verified,Charged Off,50.9,0.0,0.0,19.0,1.0,2542.44,5.5,34.0,home_improvement
30000.0,60 months,14.47,705.38,C,C4,4 years,RENT,53044.01,Not Verified,Charged Off,36.33,0.0,0.0,25.0,0.0,1294.48,19.9,29.0,small_business
5000.0,36 months,12.22,166.6,C,C4,3 years,MORTGAGE,46451.32,Not Verified,Fully Paid,20.02,0.0,1.0,29.0,0.0,6539.55,55.0,36.0,credit_card
10000.0,36 months,14.47,344.06,D,D2,10+ years,OWN,93101.99,Not Verified,Fully Paid,29.39,1.0,1.0,29.0,0.0,2705.95,21.8,32.0,credit_card
15000.0,36 months,12.47,501.59,C,C4,6 years,OWN,58735.68,Verified,Fully Paid,13.15,0.0,1.0,24.0,0.0,19001.75,18.2,33.0,home_improvement
10000.0,60 months,9.52,210.12,B,B1,5 years,OTHER,83227.51,Verified,Fully Paid,5.92,0.0,0.0,18.0,0.0,10846.31,66.3,37.0,car
5000.0,36 months,15.53,174.63,D,D2,1 year,RENT,67913.55,Verified,Fully Paid,6.27,0.0,0.0,20.0,0.0,9193.67,49.7,29.0,credit_card
20000.0,60 months,4.65,374.23,A,A1,3 years,MORTGAGE,79212.66,Not Verified,Fully Paid,24.57,0.0,0.0,9.0,0.0,1055.23,22.6,14.0,debt_consolidation
20000.0,60 months,6.35,389.92,A,A4,< 1 year,MORTGAGE,39545.96,Source Verified,Fully Paid,41.11,0.0,2.0,25.0,2.0,2506.84,43.9,44.0,credit_card
10000.0,60 months,6.25,194.49,A,A5,3 years,MORTGAGE,112753.71,Not Verified,Fully Paid,4.45,0.0,2.0,26.0,0.0,14893.11,36.3,38.0,home_improvement
20000.0,60 months,15.48,480.85,D,D2,< 1 year,RENT,23190.72,Verified,Fully Paid,2.43,0.0,4.0,17.0,1.0,3791.65,44.7,24.0,credit_card
5000.0,36 months,10.02,161.38,C,C2,6 years,RENT,51011.9,Verified,Fully Paid,9.61,1.0,1.0,28.0,0.0,426.55,4.6,43.0,major_purchase
15000.0,60 months,6.18,291.25,A,A4,3 years,MORTGAGE,116756.41,Not Verified,Fully Paid,7.0,0.0,2.0,28.0,1.0,30658.83,33.7,32.0,moving
30000.0,36 months,11.35,987.14,C,C4,5 years,NONE,48637.74,Verified,Fully Paid,17.95,0.0,1.0,9.0,0.0,3472.93,48.9,20.0,credit_card
35000.0,36 months,5.82,1061.92,A,A3,8 years,RENT,40070.77,Source Verified,Fully Paid,13.02,0.0,0.0,21.0,0.0,6901.74,19.3,22.0,debt_consolidation
10000.0,36 months,16.23,352.71,D,D3,4 years,OTHER,268849.92,Not Verified,Charged Off,10.2,0.0,2.0,13.0,1.0,7734.93,35.5,31.0,credit_card
30000.0,60 months,6.17,582.36,B,B3,10+ years,RENT,146241.44,Source Verified,Fully Paid,16.25,0.0,0.0,25.0,0.0,4255.72,44.5,38.0,small_business
35000.0,36 months,9.12,1114.95,B,B3,5 years,OWN,59822.85,Verified,Fully Paid,28.36,0.0,1.0,15.0,0.0,18071.42,18.5,25.0,other
20000.0,60 months,9.77,422.68,B,B4,5 years,RENT,27464.94,Not Verified,Fully Paid,1.93,0.0,3.0,25.0,1.0,4083.0,36.4,41.0,debt_consolidation
40000.0,60 months,13.46,919.57,C,C3,4 years,MORTGAGE,15000.0,Source Verified,Fully Paid,10.86,0.0,0.0,13.0,0.0,3440.93,9.2,15.0,moving
10000.0,36 months,9.18,318.84,B,B4,7 years,OWN,88970.77,Source Verified,Fully Paid,4.79,0.0,0.0,17.0,0.0,72890.78,21.8,32.0,home_improvement
5000.0,36 months,4.0,147.62,A,A2,7 years,MORTGAGE,131414.01,Verified,Charged Off,16.89,0.0,0.0,17.0,0.0,818.73,70.1,21.0,credit_card
30000.0,36 months,7.42,932.08,A,A2,4 years,MORTGAGE,71470.46,Not Verified,Fully Paid,24.57,0.0,1.0,19.0,0.0,5862.57,38.5,30.0,credit_card
15000.0,36 months,23.62,585.5,F,F2,2 years,RENT,16358.61,Not Verified,Charged Off,13.47,3.0,1.0,27.0,1.0,7460.01,18.9,35.0,renewable_energy
15000.0,36 months,17.7,540.03,E,E5,1 year,RENT,60610.5,Verified,Charged Off,12.12,1.0,1.0,17.0,0.0,9618.27,87.9,32.0,debt_consolidation
5000.0,36 months,14.82,172.89,D,D1,3 years,RENT,38530.46,Source Verified,Fully Paid,9.7,0.0,0.0,27.0,0.0,41990.45,38.5,39.0,other
5000.0,36 months,9.35,159.81,B,B2,6 years,RENT,60667.27,Not Verified,Fully Paid,8.64,0.0,0.0,4.0,0.0,5722.66,57.8,4.0,debt_consolidation
5000.0,36 months,24.02,196.22,F,F3,8 years,MORTGAGE,211165.9,Not Verified,Charged Off,14.65,0.0,2.0,3.0,1.0,1457.95,43.2,11.0,debt_consolidation
10000.0,36 months,15.27,347.98,D,D3,2 years,OWN,94144.03,Source Verified,Charged Off,22.09,3.0,3.0,19.0,0.0,6443.98,39.4,23.0,house
40000.0,36 months,17.24,1430.89,D,D2,6 years,RENT,81084.92,Not Verified,Fully Paid,6.93,0.0,0.0,21.0,0.0,4640.56,66.4,30.0,other
10000.0,36 months,6.31,305.63,B,B3,6 years,MORTGAGE,52483.75,Verified,Fully Paid,1.23,0.0,1.0,15.0,0.0,17880.27,28.3,29.0,renewable_energy
30000.0,60 months,7.44,600.28,B,B2,5 years,MORTGAGE,72412.35,Verified,Fully Paid,10.25,0.0,2.0,4.0,0.0,10651.36,32.1,8.0,renewable_energy
5000.0,36 months,4.0,147.62,A,A1,1 year,RENT,,Not Verified,Fully Paid,21.95,0.0,1.0,26.0,1.0,3920.57,52.9,31.0,credit_card
15000.0,36 months,18.15,543.42,E,E5,10+ years,MORTGAGE,79893.92,Not Verified,Charged Off,8.37,1.0,2.0,10.0,0.0,2944.5,58.9,20.0,home_improvement
35000.0,36 months,14.76,1209.18,C,C5,3 years,RENT,47317.81,Verified,Fully Paid,9.11,0.0,1.0,14.0,0.0,7674.28,34.9,23.0,debt_consolidation
10000.0,36 months,12.09,332.57,B,B4,4 years,MORTGAGE,30467.66,Not Verified,Fully Paid,23.43,0.0,0.0,12.0,0.0,6666.32,39.9,30.0,other
10000.0,60 months,9.35,209.29,B,B1,4 years,RENT,95846.31,Not Verified,Fully Paid,30.45,0.0,1.0,7.0,0.0,854.48,85.1,20.0,wedding
30000.0,36 months,11.54,989.85,C,C2,9 years,MORTGAGE,15000.0,Source Verified,Fully Paid,3.32,0.0,1.0,27.0,0.0,1044.99,36.0,44.0,medical
10000.0,36 months,5.17,300.47,A,A3,8 years,RENT,37003.32,Source Verified,Fully Paid,16.85,0.0,0.0,5.0,0.0,8255.7,33.4,7.0,debt_consolidation
5000.0,60 months,20.21,133.05,E,E5,4 years,MORTGAGE,83226.77,Verified,Fully Paid,15.7,0.0,0.0,11.0,0.0,1673.15,4.9,25.0,vacation
40000.0,60 months,13.66,923.69,D,D2,9 years,OWN,127670.66,Verified,Fully Paid,22.1,0.0,2.0,23.0,0.0,1067.86,,29.0,debt_consolidation
15000.0,36 months,15.14,521.01,D,D5,10+ years,OTHER,75372.07,Source Verified,Fully Paid,24.74,0.0,2.0,18.0,2.0,6968.43,30.7,19.0,other
20000.0,36 months,11.15,656.2,B,B3,9 years,NONE,33844.75,Verified,Fully Paid,5.69,0.0,0.0,1.0,0.0,1299.8,61.1,13.0,debt_consolidation
10000.0,36 months,10.93,327.06,C,C2,< 1 year,RENT,52278.86,Source Verified,Fully Paid,4.18,0.0,1.0,19.0,0.0,3624.46,24.1,28.0,car
10000.0,36 months,11.38,329.19,C,C1,3 years,MORTGAGE,66429.21,Source Verified,Fully Paid,16.78,1.0,1.0,23.0,0.0,11095.57,37.9,24.0,debt_consolidation
15000.0,60 months,12.52,337.62,C,C5,10+ years,MORTGAGE,161518.36,Not Verified,Fully Paid,7.26,0.0,0.0,11.0,0.0,1368.72,19.4,24.0,credit_card
25000.0,36 months,5.92,759.64,A,A3,5 years,OTHER,103199.43,Verified,Fully Paid,15.07,0.0,2.0,23.0,0.0,8701.97,65.8,41.0,debt_consolidation
10000.0,36 months,8.06,313.64,B,B5,1 year,RENT,103730.42,Verified,Fully Paid,4.6,0.0,2.0,21.0,0.0,11802.71,65.9,30.0,debt_consolidation
30000.0,36 months,5.62,907.5,A,A2,6 years,RENT,56714.97,Not Verified,Fully Paid,37.8,0.0,2.0,15.0,0.0,1586.77,45.4,26.0,home_improvement
25000.0,60 months,13.41,574.09,C,C5,10+ years,RENT,25599.03,Verified,Fully Paid,9.15,0.0,0.0,16.0,0.0,25724.22,30.1,28.0,other
20000.0,36 months,11.94,663.71,B,B1,3 years,MORTGAGE,20247.19,Source Verified,Fully Paid,6.56,0.0,0.0,19.0,0.0,2064.05,47.7,34.0,debt_consolidation
15000.0,60 months,5.31,285.2,A,A1,5 years,RENT,43875.61,Verified,Fully Paid,2.71,1.0,0.0,10.0,1.0,6852.9,24.1,10.0,credit_card
20000.0,36 months,5.44,603.38,A,A5,< 1 year,MORTGAGE,88397.72,Not Verified,Fully Paid,15.98,0.0,1.0,6.0,0.0,1524.53,59.3,11.0,credit_card
25000.0,60 months,14.79,592.0,C,C3,10+ years,MORTGAGE,38127.07,Source Verified,Fully Paid,8.62,0.0,0.0,14.0,0.0,1978.59,28.6,14.0,home_improvement
10000.0,60 months,4.68,187.25,A,A4,9 years,RENT,80863.86,Source Verified,Fully Paid,19.33,1.0,1.0,1.0,0.0,23824.05,50.6,1.0,home_improvement
30000.0,60 months,21.01,811.77,F,F3,< 1 year,MORTGAGE,31061.37,Verified,Charged Off,18.15,0.0,2.0,6.0,1.0,32024.32,29.3,18.0,debt_consolidation
15000.0,60 months,12.88,340.38,C,C5,3 years,RENT,34603.34,Verified,Fully Paid,17.04,0.0,0.0,13.0,0.0,13645.29,52.2,23.0,debt_consolidation
35000.0,60 months,10.61,754.2,B,B4,6 years,MORTGAGE,145162.19,Source Verified,Charged Off,3.73,0.0,3.0,1.0,0.0,2839.85,44.2,3.0,home_improvement
40000.0,60 months,13.04,910.94,C,C5,< 1 year,MORTGAGE,92670.97,Verified,Fully Paid,1.21,0.0,1.0,25.0,0.0,1545.73,75.1,26.0,debt_consolidation
5000.0,36 months,5.35,150.64,A,A3,< 1 year,MORTGAGE,43715.49,Not Verified,Fully Paid,16.83,0.0,3.0,11.0,0.0,652.64,30.1,18.0,debt_consolidation
15000.0,36 months,20.83,563.82,F,F4,8 years,MORTGAGE,30291.25,Not Verified,Charged Off,12.0,0.0,0.0,12.0,0.0,5991.31,79.7,24.0,debt_consolidation
20000.0,36 months,12.41,668.21,C,C2,9 years,OTHER,105265.44,Verified,Fully Paid,27.55,0.0,0.0,27.0,0.0,691.47,34.7,45.0,medical
20000.0,36 months,17.85,721.54,D,D3,10+ years,MORTGAGE,100059.69,Verified,Fully Paid,10.44,0.0,1.0,24.0,0.0,3239.4,51.8,40.0,debt_consolidation
30000.0,36 months,4.0,885.72,A,A5,< 1 year,RENT,84748.06,Verified,Fully Paid,15.19,2.0,3.0,12.0,0.0,8264.15,22.1,22.0,debt_consolidation
10000.0,36 months,12.13,332.76,C,C4,7 years,OWN,47835.34,Source Verified,Fully Paid,1.93,0.0,0.0,8.0,0.0,1699.89,44.4,14.0,credit_card
20000.0,60 months,11.92,444.08,C,C2,2 years,RENT,25179.52,Not Verified,Fully Paid,33.39,0.0,1.0,26.0,0.0,4338.78,15.1,33.0,credit_card
35000.0,36 months,21.95,1335.76,F,F4,6 years,MORTGAGE,53616.65,Verified,Charged Off,7.9,0.0,0.0,12.0,0.0,2847.56,52.0,28.0,house
40000.0,36 months,12.87,1345.25,C,C1,3 years,MORTGAGE,145120.53,Not Verified,Fully Paid,8.75,0.0,0.0,3.0,0.0,8125.38,72.7,8.0,debt_consolidation
5000.0,36 months,13.16,168.86,C,C5,4 years,MORTGAGE,28671.9,Source Verified,Fully Paid,21.86,0.0,1.0,13.0,1.0,4735.61,27.9,21.0,credit_card
40000.0,36 months,9.65,1284.12,B,B3,1 year,RENT,56006.18,Verified,Charged Off,42.83,1.0,0.0,14.0,0.0,2247.21,25.1,29.0,credit_card
10000.0,36 months,7.53,311.2,B,B4,2 years,MORTGAGE,170255.32,Verified,Fully Paid,11.96,1.0,0.0,18.0,0.0,1055.59,27.6,27.0,educational
20000.0,36 months,10.03,645.63,C,C5,1 year,OWN,43784.58,Not Verified,Fully Paid,46.96,0.0,1.0,9.0,0.0,40588.72,63.0,24.0,debt_consolidation
10000.0,36 months,9.39,319.82,B,B5,9 years,OWN,49551.24,Verified,Fully Paid,11.54,1.0,2.0,24.0,0.0,2345.26,50.1,27.0,home_improvement
20000.0,60 months,4.74,375.05,A,A5,4 years,RENT,21051.31,Verified,Fully Paid,2.65,0.0,0.0,13.0,0.0,1778.82,,13.0,small_business
5000.0,36 months,22.26,191.63,E,E3,6 years,RENT,,Not Verified,Fully Paid,6.79,0.0,0.0,16.0,0.0,17669.45,62.4,35.0,medical
10000.0,60 months,22.33,278.07,E,E1,10+ years,MORTGAGE,32259.94,Verified,Fully Paid,19.19,1.0,1.0,21.0,0.0,4087.86,49.2,26.0,debt_consolidation
10000.0,60 months,8.49,205.12,A,A4,< 1 year,RENT,18247.39,Not Verified,Fully Paid,24.13,0.0,3.0,24.0,0.0,13669.41,63.6,35.0,debt_consolidation
35000.0,36 months,11.09,1147.35,C,C4,4 years,OTHER,27792.15,Not Verified,Fully Paid,14.65,0.0,0.0,9.0,0.0,4801.14,20.9,25.0,credit_card
20000.0,36 months,6.35,611.62,A,A5,4 years,RENT,62687.19,Verified,Charged Off,38.89,0.0,0.0,1.0,0.0,6329.34,56.5,20.0,home_improvement
25000.0,60 months,17.31,625.49,D,D4,8 years,RENT,17924.55,Verified,Charged Off,22.89,0.0,0.0,5.0,0.0,8196.66,56.9,16.0,debt_consolidation
25000.0,60 months,10.14,532.9,B,B5,5 years,MORTGAGE,20535.89,Source Verified,Fully Paid,10.97,0.0,0.0,17.0,0.0,4590.68,22.0,35.0,debt_consolidation
